Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
080323-Base1,482019.428,4448626.727,-69.251487332,-50.1143338922,51.595,46.0903094727
080323T1T2a-0001,482019.005,4448626.112,-69.2514932772,-50.1143394106,51.508,46.0370390151
080323T1T2a-0002,482018.930,4448626.131,-69.2514943253,-50.1143392374,51.491,46.0342369446
080323T1T2a-0003,482019.074,4448627.112,-69.251492265,-50.1143304189,51.444,46.0917147036
080323T1T2a-0004,482019.733,4448629.679,-69.251482927,-50.1143073518,51.644,46.3010273876
080323T1T2a-0005,482020.540,4448632.351,-69.2514715141,-50.1142833448,51.585,46.5742044981
080323T1T2a-0006,482020.976,4448635.053,-69.2514652887,-50.1142590568,51.581,46.8272217755
080323T1T2a-0007,482021.610,4448637.907,-69.2514562869,-50.1142334078,51.628,47.0566904401
080323T1T2a-0008,482022.300,4448640.700,-69.2514465047,-50.114208309,51.699,47.1817621269
080323T1T2a-0009,482022.950,4448643.599,-69.251437277,-50.1141822557,51.755,47.183460783
080323T1T2a-0010,482023.735,4448646.422,-69.2514261647,-50.11415689,51.935,47.1331948059
080323T1T2a-0011,482024.236,4448649.013,-69.2514190355,-50.1141336023,52.145,47.0795341181
080323T1T2a-0012,482024.773,4448651.782,-69.2514113944,-50.1141087147,52.194,47.0883457855
080323T1T2a-0013,482025.376,4448654.522,-69.2514028315,-50.11408409,52.158,47.1814751505
080323T1T2a-0014,482026.248,4448657.170,-69.2513905107,-50.1140603009,52.119,47.2975267902
080323T1T2a-0015,482027.061,4448660.256,-69.2513789945,-50.1140325706,52.153,47.4080715117
080323T1T2a-0016,482027.603,4448663.293,-69.2513712708,-50.1140052729,52.203,47.4712296343
080323T1T2a-0017,482028.436,4448666.345,-69.2513594765,-50.1139778491,52.310,47.4682774023
080323T1T2a-0018,482029.106,4448669.358,-69.2513499638,-50.1139507711,52.327,47.4603123292
080323T1T2a-0019,482029.829,4448672.334,-69.2513397115,-50.1139240274,52.432,47.4565911317
080323T1T2a-0020,482030.383,4448675.492,-69.2513318144,-50.1138956418,52.388,47.4629640825
080323T1T2a-0021,482031.353,4448678.621,-69.2513181004,-50.1138675296,52.342,47.4690484767
080323T1T2a-0022,482031.972,4448681.344,-69.2513093147,-50.1138430583,52.367,47.4679303277
