Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
260223-Base1,320280.771,4503759.777,-71.4868391593,-49.5920048677,248.327,249.996083935
260223-T2T5c-001,320279.626,4503760.250,-71.4868547711,-49.5920002769,248.227,249.966288436
260223-T2T5c-002,320279.169,4503760.212,-71.4868611059,-49.5920004826,248.194,249.961091839
260223-T2T5c-003,320276.503,4503759.687,-71.4868981997,-49.592004408,248.221,249.993458208
260223-T2T5c-004,320273.062,4503758.888,-71.486946132,-49.5920105654,248.247,250.216326157
260223-T2T5c-005,320269.920,4503758.592,-71.4869897012,-49.5920122915,248.337,250.42364448
260223-T2T5c-006,320266.392,4503757.785,-71.4870388398,-49.5920184949,248.190,250.473719127
260223-T2T5c-007,320263.105,4503757.375,-71.4870844655,-49.5920212023,248.291,250.428799485
260223-T2T5c-008,320259.762,4503756.970,-71.4871308631,-49.5920238482,248.286,250.414078701
260223-T2T5c-009,320256.428,4503756.595,-71.4871771225,-49.5920262271,248.364,250.431311019
260223-T2T5c-010,320252.772,4503756.301,-71.4872277961,-49.5920277824,248.275,250.42754665
260223-T2T5c-011,320249.333,4503755.792,-71.4872755682,-49.5920313342,248.195,250.361288226
260223-T2T5c-012,320280.089,4503760.119,-71.4868484307,-49.5920015917,248.259,249.975830156
260223-T2T5c-013,320278.618,4503760.525,-71.4868685796,-49.5919975061,248.241,249.954853732
260223-T2T5c-014,320275.814,4503760.323,-71.4869074334,-49.5919984881,248.219,250.020229521
260223-T2T5c-015,320272.534,4503760.397,-71.486952741,-49.5919968483,248.251,250.257086856
260223-T2T5c-016,320269.198,4503760.281,-71.4869989096,-49.5919968993,248.310,250.46604705
260223-T2T5c-017,320265.733,4503759.813,-71.4870470224,-49.592000075,248.251,250.491882721
260223-T2T5c-018,320262.684,4503759.136,-71.4870894802,-49.5920052525,248.278,250.446465411
260223-T2T5c-019,320259.375,4503758.746,-71.4871354008,-49.5920077736,248.258,250.442546951
260223-T2T5c-020,320255.991,4503758.353,-71.4871823596,-49.5920102995,248.287,250.466712518
260223-T2T5c-021,320252.686,4503758.023,-71.4872281976,-49.5920122826,248.316,250.473894295
260223-Base2,320279.518,4503760.555,-71.4868561246,-49.591997504,250.130,249.961559757
260223T2T5c-0001,320279.949,4503760.194,-71.4868503317,-49.5920008761,252.272,249.972269794
260223T2T5c-0002,320278.179,4503759.919,-71.4868749252,-49.5920028213,252.301,249.960755328
260223T2T5c-0003,320275.171,4503759.277,-71.4869168002,-49.5920076965,252.362,250.063537303
260223T2T5c-0004,320271.679,4503758.938,-71.4869652272,-49.5920097051,252.365,250.318585669
260223T2T5c-0005,320268.481,4503758.639,-71.4870095719,-49.5920114415,252.390,250.465940209
260223T2T5c-0006,320265.085,4503758.508,-71.4870565768,-49.5920116094,252.271,250.463217413
260223T2T5c-0007,320262.069,4503757.833,-71.4870985774,-49.5920167787,252.346,250.420570945
260223T2T5c-0008,320258.738,4503757.431,-71.4871448077,-49.5920194012,252.440,250.425214413
260223T2T5c-0009,320255.147,4503756.960,-71.4871946637,-49.5920225664,252.308,250.445291646
260223T2T5c-0010,320251.788,4503756.037,-71.4872415192,-49.5920298623,252.330,250.409592785
260223T2T5c-0011,320248.690,4503755.012,-71.4872848135,-49.5920381523,252.238,250.309462425
260223T2T5c-0012,320245.254,4503754.788,-71.4873324139,-49.5920391439,252.217,250.234603958
260223T2T5c-0013,320241.923,4503754.621,-71.4873785367,-49.5920396545,252.244,250.166994998
260223T2T5c-0014,320238.584,4503754.518,-71.4874247409,-49.5920395876,252.237,250.146321046
260223T2T5c-0015,320235.053,4503754.522,-71.4874735503,-49.5920385021,252.292,250.338812381
260223T2T5c-0016,320231.608,4503753.918,-71.4875214489,-49.5920429057,252.276,250.683924229
260223T2T5c-0017,320228.424,4503753.920,-71.4875654624,-49.5920419413,252.223,250.846873043
260223T2T5c-0018,320224.728,4503753.366,-71.4876168078,-49.5920458209,252.184,250.656339758
260223T2T5c-0019,320221.104,4503752.818,-71.4876671553,-49.592049668,252.232,250.497416924
260223T2T5c-0020,320217.390,4503752.600,-71.4877185959,-49.5920505229,252.182,250.583002047
260223T2T5c-0021,320213.757,4503752.151,-71.4877690225,-49.5920534777,252.203,250.760929286
260223T2T5c-0022,320210.196,4503751.615,-71.4878184935,-49.5920572356,252.217,250.989984361
