Profile;CNsample1;CNsample2;CNsample3;CNage1;CNage2;avgCN;Caution;Comment
280223T5T3f;SC-E-301;nan;nan;120,33;120,33;120,33;y;.
280223T3T5b;SC-E-301;nan;nan;120,33;120,33;120,33;y;.
280223T3T5c;SC-E-301;nan;nan;120,33;120,33;120,33;y;.
280223T2T3a;SC-E-107;SC-E-108;nan;47,03;68,15;57,59;y;CN are far away
280223T2T3b;SC-E-107;SC-E-108;nan;47,03;68,15;57,59;y;CN are far away
280223T2T3c;SC-E-107;SC-E-108;nan;47,03;68,15;57,59;y;CN are far away
280223TT4T6;SC-E-202;SC-E-204;nan;611,66;680,71;646,185;y;Terrace correlation by Andy's map, difficult.
280223T4T6b;SC-E-202;SC-E-204;nan;611,66;680,71;646,185;y;Terrace correlation by Andy's map, difficult.
260223T2T5a;SC-E-107;SC-E-108;nan;47,03;68,15;57,59;n;.
260223T2T5a;SC-E-107;SC-E-108;nan;47,03;68,15;57,59;n;.
260223T2T5c;SC-E-107;SC-E-108;nan;47,03;68,15;57,59;y;Alluvial fan influence?
260223T2T5c;SC-E-107;SC-E-108;nan;47,03;68,15;57,59;y;Alluvial fan influence?
270223T5T6c;SC-E-202;SC-E-204;nan;611,66;680,71;646,185;n;.
270223T5T6d;SC-E-202;SC-E-204;nan;611,66;680,71;646,185;n;.
270223T6T7a;SC-E-404;nan;nan;833,87;833,87;833,87;n;.
270223T6T7b;SC-E-404;nan;nan;833,87;833,87;833,87;n;.
270223T6T7c;SC-E-404;nan;nan;833,87;833,87;833,87;n;.
270223T6T7d;SC-E-404;nan;nan;833,87;833,87;833,87;n;.
260223T0T2a;modern;nan;nan;0;0;0;n;.
260223T0T2b;modern;nan;nan;0;0;0;n;.
260223T0T2c;modern;nan;nan;0;0;0;n;.
270223T6T7e;SC-E-404;nan;nan;833,87;833,87;833,87;y;Terrace cut by channel
270223T6T7f;SC-E-404;nan;nan;833,87;833,87;833,87;y;Terrace cut by channel
