fid,terrace,distance,angle,x,y,name
"1",T7,0,198.434948823025,677897.06708,5337292.08859,T7-1
"1",T7,10,198.434948823025,677893.90480,5337282.60175,T7-2
"1",T7,20,198.434948823025,677890.74253,5337273.11492,T7-3
"1",T7,30,198.434948823025,677887.58025,5337263.62809,T7-4
"1",T7,40,198.434948823025,677884.41797,5337254.14125,T7-5
"1",T7,50,187.594643368624,677882.91630,5337244.27059,T7-6
"1",T7,60,187.594643368624,677881.59466,5337234.35831,T7-7
"1",T7,70,187.594643368624,677880.27302,5337224.44603,T7-8
"1",T7,80,187.594643368624,677878.95138,5337214.53375,T7-9
"1",T7,90,187.594643368624,677877.62975,5337204.62147,T7-10
"1",T7,100,192.938056317061,677875.89066,5337194.78480,T7-11
"1",T7,110,192.938056317061,677873.65169,5337185.03868,T7-12
"1",T7,120,192.938056317061,677871.41271,5337175.29255,T7-13
"1",T7,130,192.938056317061,677869.17374,5337165.54642,T7-14
"1",T7,140,192.938056317061,677866.93476,5337155.80030,T7-15
"1",T7,150,192.938056317061,677864.69579,5337146.05417,T7-16
"1",T7,160,197.474774256389,677861.70137,5337136.51338,T7-17
"1",T7,170,197.474774256389,677858.69852,5337126.97489,T7-18
"1",T7,180,197.474774256389,677855.69566,5337117.43640,T7-19
"1",T7,190,197.474774256389,677852.69280,5337107.89790,T7-20
"1",T7,200,205.016893478151,677848.57021,5337098.79476,T7-21
"1",T7,210,205.016893478151,677844.34135,5337089.73293,T7-22
"1",T7,220,205.016893478151,677840.11250,5337080.67109,T7-23
"1",T7,230,205.016893478151,677835.88364,5337071.60926,T7-24
"1",T7,240,205.426874169338,677831.64530,5337062.55190,T7-25
"1",T7,250,205.426874169338,677827.35171,5337053.52056,T7-26
"1",T7,260,205.426874169338,677823.05812,5337044.48922,T7-27
"1",T7,270,205.426874169338,677818.76453,5337035.45788,T7-28
"1",T7,280,205.426874169338,677814.47094,5337026.42654,T7-29
